Unternehmen,Ticker,Gewichtung_pct
Halliburton Co.,HAL,0.045203
Cincinnati Financial Corp.,CINF,0.045060
Live Nation Entertainment In,LYV,0.044938
Williams Sonoma Inc.,WSM,0.044554
Otis Worldwide Corp.,OTIS,0.044431
Ppl Corp.,PPL,0.044067
Xylem Inc.,XYL,0.043797
Eversource Energy,ES,0.043660
Ppg Industries Inc.,PPG,0.043460
Fair Isaac Corp.,FICO,0.043345
Hubbell Inc.,HUBB,0.043248
Copart Inc.,CPRT,0.042838
Dexcom Inc.,DXCM,0.042680
Hershey Co.,HSY,0.042081
Synchrony Financial,SYF,0.041863
Avalonbay Communities Inc.,AVB,0.041795
Fiserv Inc.,FISV,0.041721
Dollar General Corp.,DG,0.041693
Pultegroup Inc.,PHM,0.041468
Raymond James Financial Inc.,RJF,0.041152
American Water Works Co. Inc.,AWK,0.040991
Veeva Systems Inc. Class A,VEEV,0.040706
First Solar Inc.,FSLR,0.040608
Regions Financial Corp.,RF,0.040588
Mettler Toledo International,MTD,0.040189
Cboe Global Markets Inc.,CBOE,0.040185
Southwest Airlines Co.,LUV,0.040131
Workday Inc. Class A,WDAY,0.040033
Firstenergy Corp.,FE,0.039922
Willis Towers Watson PLC,WTW,0.039672
West Pharmaceutical Services,WST,0.039218
Smurfit Westrock PLC,SW,0.039012
Darden Restaurants Inc.,DRI,0.038722
Cms Energy Corp.,CMS,0.038342
Verisk Analytics Inc.,VRSK,0.037768
Moderna Inc.,MRNA,0.037589
T Rowe Price Group Inc.,TROW,0.037381
Church + Dwight Co. Inc.,CHD,0.037236
Nisource Inc.,NI,0.037127
Quest Diagnostics Inc.,DGX,0.036756
Equity Residential,EQR,0.036512
Ares Management Corp. A,ARES,0.036416
Texas Pacific Land Corp.,TPL,0.036269
Dollar Tree Inc.,DLTR,0.035492
Labcorp Holdings Inc.,LH,0.035234
F5 Inc.,FFIV,0.035178
Veralto Corp.,VLTO,0.034868
Corpay Inc.,CPAY,0.034388
Keycorp,KEY,0.033916
Packaging Corp. Of America,PKG,0.033831
Ulta Beauty Inc.,ULTA,0.033652
Expand Energy Corp.,EXE,0.033513
Principal Financial Group,PFG,0.033500
Steris PLC,STE,0.033469
C.H. Robinson Worldwide Inc.,CHRW,0.033439
Expeditors Intl Wash Inc.,EXPD,0.033264
Wr Berkley Corp.,WRB,0.033160
Hp Inc.,HPQ,0.033127
Verisign Inc.,VRSN,0.033110
Hunt (Jb) Transprt Svcs Inc.,JBHT,0.033020
Dow Inc.,DOW,0.033000
Omnicom Group,OMC,0.032957
Snap On Inc.,SNA,0.032546
International Paper Co.,IP,0.032403
Constellation Brands Inc. A,STZ,0.032284
Kraft Heinz Co.,KHC,0.032115
Lennar Corp. W/D,LEN,0.031852
Evergy Inc.,EVRG,0.031811
Fidelity National Info Serv,FIS,0.031544
Estee Lauder Companies Cl A,EL,0.031413
Alliant Energy Corp.,LNT,0.031392
Amcor PLC,AMCR,0.031258
Intl Flavors + Fragrances,IFF,0.030914
Sba Communications Corp.,SBAC,0.030828
General Mills Inc.,GIS,0.030405
Loews Corp.,L,0.030236
Viatris Inc.,VTRS,0.030057
Essex Property Trust Inc.,ESS,0.030017
Cognizant Tech Solutions A,CTSH,0.030014
Incyte Corp.,INCY,0.029992
Equifax Inc.,EFX,0.029856
Fortive Corp.,FTV,0.029657
Brown + Brown Inc.,BRO,0.029618
Dupont De Nemours Inc.,DD,0.029334
Nvr Inc.,NVR,0.029070
Weyerhaeuser Co.,WY,0.028657
Zimmer Biomet Holdings Inc.,ZBH,0.028496
Lennox International Inc.,LII,0.028231
Kimco Realty Corp.,KIM,0.027626
Super Micro Computer Inc.,SMCI,0.027272
Cdw Corp./De,CDW,0.026943
Idex Corp.,IEX,0.026606
Fedex Freight Holding Co.,FDXF,0.026389
Invitation Homes Inc.,INVH,0.026340
Tyson Foods Inc. Cl A,TSN,0.026135
Akamai Technologies Inc.,AKAM,0.026057
Ball Corp.,BALL,0.026027
Mid America Apartment Comm,MAA,0.025905
Tractor Supply Company,TSCO,0.025898
Generac Holdings Inc.,GNRC,0.025710
Cf Industries Holdings Inc.,CF,0.025692
Global Payments Inc.,GPN,0.025680
Masco Corp.,MAS,0.025609
Nordson Corp.,NDSN,0.025286
Genuine Parts Co.,GPC,0.025266
Host Hotels + Resorts Inc.,HST,0.025254
Broadridge Financial Solutio,BR,0.025239
Ralph Lauren Corp.,RL,0.025208
Textron Inc.,TXT,0.025043
Albemarle Corp.,ALB,0.024913
Best Buy Co. Inc.,BBY,0.024176
